name,price,have_stock
AK-47 | Nightwish (Factory New),217.01,0
AK-47 | Nightwish (Field-Tested),61.71,0
AK-47 | Nightwish (Minimal Wear),114.34,0
AK-47 | Nightwish (Well-Worn),39.38,7
AK-47 | Orbit Mk01 (Battle-Scarred),8.09,0
AK-47 | Orbit Mk01 (Factory New),14.06,0
AK-47 | Orbit Mk01 (Field-Tested),8.45,0
AK-47 | Orbit Mk01 (Minimal Wear),9.69,0
AK-47 | Orbit Mk01 (Well-Worn),11.08,4
AK-47 | Panthera onca (Battle-Scarred),128.28,0
AK-47 | Panthera onca (Factory New),317.11,0
AK-47 | Panthera onca (Field-Tested),201.82,0
AK-47 | Panthera onca (Minimal Wear),323.65,0
AK-47 | Panthera onca (Well-Worn),143.08,0
AK-47 | Phantom Disruptor (Battle-Scarred),5.05,0
AK-47 | Phantom Disruptor (Factory New),11.02,1
AK-47 | Phantom Disruptor (Field-Tested),5.42,0
AK-47 | Phantom Disruptor (Minimal Wear),8.22,31
AK-47 | Phantom Disruptor (Well-Worn),7.02,62
AK-47 | Point Disarray (Battle-Scarred),8.88,0
AK-47 | Point Disarray (Factory New),29.73,0
AK-47 | Point Disarray (Field-Tested),12.37,13
AK-47 | Point Disarray (Minimal Wear),17.8,3
AK-47 | Point Disarray (Well-Worn),11.47,0
AK-47 | Predator (Battle-Scarred),11.21,0
AK-47 | Predator (Factory New),32.25,0
AK-47 | Predator (Field-Tested),13.41,8
AK-47 | Predator (Minimal Wear),14.35,1
AK-47 | Predator (Well-Worn),11.9,0
AK-47 | Rat Rod (Battle-Scarred),3.07,0
AK-47 | Rat Rod (Factory New),7.72,0
AK-47 | Rat Rod (Field-Tested),3.56,27
AK-47 | Rat Rod (Minimal Wear),4.26,1
AK-47 | Rat Rod (Well-Worn),3.0,0
AK-47 | Red Laminate (Battle-Scarred),26.7,0
AK-47 | Red Laminate (Field-Tested),24.23,0
AK-47 | Red Laminate (Minimal Wear),40.88,0
AK-47 | Red Laminate (Well-Worn),29.15,1
AK-47 | Redline (Battle-Scarred),8.3,0
AK-47 | Redline (Field-Tested),15.51,19
AK-47 | Redline (Minimal Wear),68.68,2
AK-47 | Redline (Well-Worn),11.56,0
AK-47 | Safari Mesh (Battle-Scarred),0.22,31
AK-47 | Safari Mesh (Factory New),4.49,0
AK-47 | Safari Mesh (Field-Tested),0.2,84
AK-47 | Safari Mesh (Minimal Wear),0.57,51
AK-47 | Safari Mesh (Well-Worn),0.28,54
AK-47 | Safety Net (Battle-Scarred),5.48,42
AK-47 | Safety Net (Factory New),10.45,0
AK-47 | Safety Net (Field-Tested),4.96,0
AK-47 | Safety Net (Minimal Wear),7.12,3
AK-47 | Safety Net (Well-Worn),6.56,0
AK-47 | Slate (Battle-Scarred),3.08,57
AK-47 | Slate (Factory New),13.63,23
AK-47 | Slate (Field-Tested),3.0,124
AK-47 | Slate (Minimal Wear),4.99,37
AK-47 | Slate (Well-Worn),3.03,62
AK-47 | The Empress (Battle-Scarred),21.83,14
AK-47 | The Empress (Factory New),106.5,0
AK-47 | The Empress (Field-Tested),29.0,15
AK-47 | The Empress (Minimal Wear),46.45,4
AK-47 | The Empress (Well-Worn),23.05,23
AK-47 | Uncharted (Battle-Scarred),0.48,5
AK-47 | Uncharted (Factory New),1.63,27
AK-47 | Uncharted (Field-Tested),0.48,137
AK-47 | Uncharted (Minimal Wear),0.68,69
AK-47 | Uncharted (Well-Worn),0.72,0
AK-47 | Vulcan (Battle-Scarred),59.7,19
AK-47 | Vulcan (Factory New),554.95,0
AK-47 | Vulcan (Field-Tested),167.09,8
AK-47 | Vulcan (Minimal Wear),326.85,1
AK-47 | Vulcan (Well-Worn),99.37,12
AK-47 | Wasteland Rebel (Battle-Scarred),25.52,0
AK-47 | Wasteland Rebel (Factory New),177.61,0
AK-47 | Wasteland Rebel (Field-Tested),25.42,0
AK-47 | Wasteland Rebel (Minimal Wear),39.22,1
AK-47 | Wasteland Rebel (Well-Worn),32.13,16
AK-47 | Wild Lotus (Battle-Scarred),2111.93,0
AK-47 | Wild Lotus (Factory New),9495.84,0
AK-47 | Wild Lotus (Field-Tested),4924.62,0
AK-47 | Wild Lotus (Minimal Wear),6972.84,0
AK-47 | Wild Lotus (Well-Worn),3476.87,0
